               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12123,            0.047356,            0.044345,           0.0013661,                0.05,          0.00097719,          9.7719e-05,            0.074618,            0.044877,            0.031264,              0.0973,              0.0003,              0.0003
                   1,             0.12246,            0.047856,            0.057108,           0.0048039,                 0.1,           0.0032259,          0.00064518,            0.073572,            0.045033,            0.031114,            0.093697,          0.00069653,          0.00069653
                   2,              0.1167,            0.050764,            0.045615,           0.0046586,                 0.1,           0.0030754,           0.0013122,            0.072535,            0.045313,            0.031003,            0.090089,           0.0010891,           0.0010891
                   3,             0.12094,            0.044117,             0.04377,           0.0052106,                 0.1,           0.0040693,           0.0020347,            0.069962,            0.046013,            0.030375,            0.086478,           0.0014777,           0.0014777
                   4,             0.10168,            0.054039,            0.041225,           0.0068511,                 0.2,           0.0081068,           0.0039532,            0.067379,            0.046977,            0.029893,            0.082862,           0.0018624,           0.0018624
                   5,            0.099119,            0.053664,             0.03969,           0.0091471,                0.25,            0.018023,           0.0072649,            0.064918,            0.047892,            0.029254,            0.079243,           0.0022431,           0.0022431
                   6,            0.093359,            0.054131,            0.041813,           0.0091471,                0.25,            0.018023,           0.0072649,            0.064918,            0.047892,            0.029254,             0.07562,           0.0026198,           0.0026198
                   7,            0.083765,            0.049283,            0.036426,            0.010958,                 0.5,            0.032001,           0.0096514,            0.062814,            0.048478,            0.028602,            0.071993,           0.0029926,           0.0029926
                   8,            0.091445,            0.049553,            0.048063,            0.010471,                0.55,            0.061547,            0.021077,            0.060343,            0.049035,            0.028198,            0.068361,           0.0033614,           0.0033614
                   9,            0.086192,            0.054199,            0.041019,            0.010471,                0.55,            0.061547,            0.021077,            0.060343,            0.049035,            0.028198,            0.064726,           0.0037263,           0.0037263
                  10,            0.090946,            0.072145,            0.041193,            0.010358,                 0.7,             0.11943,            0.041824,            0.057612,            0.049045,            0.027766,            0.061087,           0.0040871,           0.0040871
                  11,            0.084559,            0.052552,            0.040404,            0.010358,                 0.7,             0.11943,            0.041824,            0.057612,            0.049045,            0.027766,            0.057444,           0.0044441,           0.0044441
                  12,            0.089259,            0.054949,             0.04172,            0.009321,                0.65,             0.21781,            0.057766,            0.055789,            0.048403,            0.027412,            0.053797,           0.0047971,           0.0047971
                  13,            0.090255,            0.055733,            0.039282,            0.009321,                0.65,             0.21781,            0.057766,            0.055789,            0.048403,            0.027412,            0.050146,           0.0051461,           0.0051461
                  14,            0.095804,            0.066469,            0.041276,            0.010838,                 0.8,              0.3137,            0.074718,            0.051024,            0.048951,            0.026288,            0.046491,           0.0054911,           0.0054911
                  15,            0.083945,              0.0506,            0.036635,            0.010838,                 0.8,              0.3137,            0.074718,            0.051024,            0.048951,            0.026288,            0.042832,           0.0058322,           0.0058322
                  16,            0.086443,            0.074087,            0.040546,            0.010838,                 0.8,              0.3137,            0.074718,            0.051024,            0.048951,            0.026288,            0.039169,           0.0061694,           0.0061694
